Nombre científico	Nombres comunes	Categoria taxonómica	Estatus	Tipo distribución	Usos y Agrobiodiversidad	Ambiente	Numero de registros	Nombre común principal	Foto principal	Reino	División	Phylum	Clase	Orden	Familia	Género	Especie	Bibliografía	URL Enciclovida	Identificador EncicloVida	Identificador CAT
Cnidoscolus angustidens	"Caribe (ND), Mala mujer (Español), Mala mujer china (Español), Ortiga (Español), Ortiga mayor (Español), Ortiguilla (Español), Quemador (Español), Tachinole (ND), Tzitzicastli (Náhuatl)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	5	Mala mujer	https://inaturalist-open-data.s3.amazonaws.com/photos/603625/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Cnidoscolus	Cnidoscolus angustidens	"Torrey, J. 1858. Rep. U.S. Mex. Bound., Bot. [Emory]. 2 (1). In: Emory, W. H.
Maya-Lastra, C. A. & Steinmann, V. W. 2018. Phytotaxa. A Nomenclator of Cnidoscolus (Euphorbiaceae). Magnolia Press. 346 (1): 1-30. "	https://enciclovida.mx:443/especies/148799-cnidoscolus-angustidens	148799	12854ANGIO
Euphorbia antisyphilitica	"Candelilla (Español), Mala mujer (Español)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	15	Candelilla	https://inaturalist-open-data.s3.amazonaws.com/photos/3951489/medium.JPG	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia antisyphilitica	"Zuccarini, J. G. 1832. Abh. Math.-Phys. Kl. Sachs. Akad. Wiss. Munich. 1.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281.
Royo, M. & Melgoza Castillo, A. 2014. Angiospermas. Matorral. En: CONABIO (Ed.). La biodiversidad en Chihuahua. Estudio de Estado. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad. México. pp. 370-375."	https://enciclovida.mx:443/especies/149050-euphorbia-antisyphilitica	149050	13106ANGIO
Euphorbia bifurcata		especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	1	Forked spurge	https://inaturalist-open-data.s3.amazonaws.com/photos/12597705/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia bifurcata	"Engelmann, G. 1858. Rep. U.S. Mex. Bound., Bot. [Emory]. 2 (1). In: Emory, W. H.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149063-euphorbia-bifurcata	149063	13119ANGIO
Euphorbia lacera		especie	válido	"Endémica,Nativa"	Parientes silvestres de cultivos	Terrestre	3		https://inaturalist-open-data.s3.amazonaws.com/photos/52069654/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia lacera	"Boissier, P. E. 1860. Cent. Euphorb. Leipzig, Alemania.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149080-euphorbia-lacera	149080	13136ANGIO
Euphorbia succedanea		especie	válido	"Endémica,Nativa"	Parientes silvestres de cultivos	Terrestre	14		https://static.inaturalist.org/photos/24458676/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia succedanea	"Wheeler, L. C. 1939. Contr. Gray Herb. A miscellany of new world Euphorbiaceae, II. Harvard Papers in Botany. Cambridge, MA. (127).
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149090-euphorbia-succedanea	149090	13146ANGIO
Euphorbia colletioides	"Bacachari (Guarijío), Candelilla (Español), Candelilla bronca (Español), Candelilla china (Español), Candelilla de palo (Español), Candelillo (Español), Jumete (ND), Papache borracho (ND)"	especie	válido	Nativa	"Medicinal, Parientes silvestres de cultivos"	Terrestre	3	Candelilla	https://inaturalist-open-data.s3.amazonaws.com/photos/5119852/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia colletioides	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
Bentham, G. 1846. Botany of the Voyage of H.M.S. Sulphur. The. P. 1-16, 16 Jan 1844; 17-48, 2 Apr 1844; 49-72, 16 Aug 1844; 73-96, 26 Oct 1844; 97-144, 14 Apr 1845;145-195, 8 May 1846.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281.
Gutiérrez, G., Siqueiros Delgado, M. E., Rodríguez Chávez, H. E., de la Cerda Lemus M. & Carranza González, E. 2012. Estudio de caso: Usos potenciales de las plantas en tres áreas protegidas del estado de Guanajuato. En: CONABIO (Ed.). La biodiversidad en Guanajuato. Estudio de Estado. Vol. I. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO)/Instituto de Ecología del Estado de Guanajuato (IEE). México. pp. 262-265."	https://enciclovida.mx:443/especies/149095-euphorbia-colletioides	149095	13151ANGIO
Euphorbia dioscoreoides		especie	válido	"Endémica,Nativa"	Parientes silvestres de cultivos	Terrestre	1	Euphorbia dioscoreoides	https://inaturalist-open-data.s3.amazonaws.com/photos/50447467/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia dioscoreoides	"Boissier, P. E. 1860. Cent. Euphorb. Leipzig, Alemania.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149109-euphorbia-dioscoreoides	149109	13165ANGIO
Euphorbia exstipulata		especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	1	Squareseed Spurge	https://static.inaturalist.org/photos/507035/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia exstipulata	"Engelmann, G. 1858. Rep. U.S. Mex. Bound., Bot. [Emory]. 2 (1). In: Emory, W. H.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149113-euphorbia-exstipulata	149113	13169ANGIO
Euphorbia humayensis		especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	2		https://inaturalist-open-data.s3.amazonaws.com/photos/242234156/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia humayensis	"Brandegee, T. S. 1905. Zoe. 5.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149129-euphorbia-humayensis	149129	13185ANGIO
Euphorbia macropus		especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	34	Hierba de la golondrina	https://static.inaturalist.org/photos/5438201/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia macropus	"Boissier, P. E. 1862. Prodr. [A. P. de Candolle]. Subordo Euphorbieae. París, Francia. 15 (2). In: de Candolle, A. (Editore et pro parte auctore)
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149136-euphorbia-macropus	149136	13192ANGIO
Euphorbia ocymoidea	"Golondrina (Español), Sak iits (Maya)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	4	Golondrina	https://inaturalist-open-data.s3.amazonaws.com/photos/10929915/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia ocymoidea	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
L. 1753. Species Plantarum.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149153-euphorbia-ocymoidea	149153	13209ANGIO
Euphorbia sphaerorhiza		especie	válido	"Endémica,Nativa"	Parientes silvestres de cultivos	Terrestre	21		https://static.inaturalist.org/photos/24467936/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia sphaerorhiza	"Bentham, G. 1839. Pl. Hartw. [Bentham].
Ulloa Ulloa, C., Acevedo-Rodríguez, P., Beck, S., Belgrano, M. J., Bernal, R., Berry, P. E., Brako, L., Celis, M., Davidse, G., Forzza, R. C., Gradstein, S. R., Hokche, O., León, B., León-Yáñez, S. et al. 2018. An integrated assessment of vascular plants species of the Americas. Science. 358: 1614-1617, f. 1-4."	https://enciclovida.mx:443/especies/149165-euphorbia-sphaerorhiza	149165	13221ANGIO
Euphorbia subpeltata		especie	válido	"Endémica,Nativa"	Parientes silvestres de cultivos	Terrestre	1		https://inaturalist-open-data.s3.amazonaws.com/photos/150399775/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subpeltata	"Watson, S. 1891. Proc. Amer. Acad. Arts Sci. Boston, MA., USA. 25.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149168-euphorbia-subpeltata	149168	13224ANGIO
Euphorbia subreniformis		especie	válido	"Endémica,Nativa"	Parientes silvestres de cultivos	Terrestre	2		https://inaturalist-open-data.s3.amazonaws.com/photos/15056061/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia subreniformis	"Watson, S. 1886. Contributions to American Botany. Proc. Amer. Acad. Arts. . 21: 414-468. .
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149170-euphorbia-subreniformis	149170	13226ANGIO
Euphorbia xalapensis		especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	1		https://inaturalist-open-data.s3.amazonaws.com/photos/15196901/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia xalapensis	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
Kunth, K. S. 1817. Nov. Gen. Sp. [H.B.K.]. 2.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149176-euphorbia-xalapensis	149176	13232ANGIO
Cnidoscolus aconitifolius	"Chaay (Maya), Chaay kool (ND), Chay (ND), Chaya (Español), Chaya de castilla (Español), Chaya mansa (Español), Chaya pica (Español), Chaya silvestre (Español), Chayapica (Español), Kiki-chay (Maya), Laec (Tseltal), Mal hombre (Español), Mala mujer (Español), Ortiga (Español), Picar (Español), Quelite (Español), Saj (ND), Ts'iim (Maya), Ts'iim chaay (Maya), Ts'in'k-chay (Maya), Tsaaj (ND), Tsah (Maya), Tza (Huasteco), Tzah (ND), Tziminchay (Maya), Tzintzin-chay (ND), X-tsah (Maya), Xe'tel (ND)"	especie	válido	Nativa	"Ambiental, Medicinal, Melífera, Ornamental, Consumo animal, Consumo humano, Parientes silvestres de cultivos"	Terrestre	5	Mala mujer	https://inaturalist-open-data.s3.amazonaws.com/photos/20424490/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Cnidoscolus	Cnidoscolus aconitifolius	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
Johnston, I. M. 1923. Contr. Gray Herb. Diagnoses and Notes relating to the Spermatophytes chiefly of North America. Harvard Papers in Botany. Cambridge, MA. (68).
Martínez-Gordillo, M., Steinmann, V., Jiménez, J., Cervantes, A., Ramírez, Y. & Ramírez, A. 2006. Catálogo de autoridades taxonómicas de las euforbiáceas (Euphorbiaceae: Magnoliopsida) de México. Facultad de Ciencias, UNAM. Base de datos SNIB-CONABIO, proyecto CS006. México, D. F.
Maya-Lastra, C. A. & Steinmann, V. W. 2018. Phytotaxa. A Nomenclator of Cnidoscolus (Euphorbiaceae). Magnolia Press. 346 (1): 1-30. "	https://enciclovida.mx:443/especies/149458-cnidoscolus-aconitifolius	149458	13514ANGIO
Cnidoscolus albidus		especie	válido	"Endémica,Nativa"	Parientes silvestres de cultivos	Terrestre	1		https://inaturalist-open-data.s3.amazonaws.com/photos/75594877/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Cnidoscolus	Cnidoscolus albidus	"Lundell, C. L. 1945. Bull. Torrey Bot. Club. The Genus Cnidoscolus in Mexico: new species and critical notes. Torrey Botanical Society. Nueva York. 72 (3). In: Rickett, H. W.
Maya-Lastra, C. A. & Steinmann, V. W. 2018. Phytotaxa. A Nomenclator of Cnidoscolus (Euphorbiaceae). Magnolia Press. 346 (1): 1-30. "	https://enciclovida.mx:443/especies/149461-cnidoscolus-albidus	149461	13517ANGIO
Cnidoscolus multilobus	"Ac (Huasteco), Cajni (Totonaco), Cajní (ND), Calh'ne (ND), Chaya (Español), Chaya de monte (Español), Chichicaste (ND), Chichicaste de caballo (Español), Chichicastle (Español), Chichoalcaxitle (ND), Gahni (ND), Kakjne (ND), Kgajna (ND), Mala mujer (Español), Mala mujer lisa (Español), Ortiga (Español), Ortiguilla (Español), Pipián (Español), Sla ek' (Tseltal), Tectzonquilit (ND), Tepo (ND), Tepum (ND), Tetsonquilit (ND), Totopo (ND), Tzitzicaitl (Náhuatl), Tzitzicastli (Náhuatl), Tépum (ND), Xaxa'nat cag'ni (ND)"	especie	válido	Nativa	"Medicinal, Maderable, Parientes silvestres de cultivos"	Terrestre	3	Mala mujer	https://static.inaturalist.org/photos/651751/medium.JPG	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Cnidoscolus	Cnidoscolus multilobus	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
Johnston, I. M. 1923. Contr. Gray Herb. Diagnoses and Notes relating to the Spermatophytes chiefly of North America. Harvard Papers in Botany. Cambridge, MA. (68).
Maya-Lastra, C. A. & Steinmann, V. W. 2018. Phytotaxa. A Nomenclator of Cnidoscolus (Euphorbiaceae). Magnolia Press. 346 (1): 1-30. "	https://enciclovida.mx:443/especies/149471-cnidoscolus-multilobus	149471	13527ANGIO
Euphorbia cuphosperma	"Picachalih (ND), Picajlij (Guarijío)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	4	Candelilla de fruto lanudo	https://static.inaturalist.org/photos/41889146/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia cuphosperma	"Boissier, P. E. 1862. Prodr. [A. P. de Candolle]. Subordo Euphorbieae. París, Francia. 15 (2). In: de Candolle, A. (Editore et pro parte auctore)
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149533-euphorbia-cuphosperma	149533	13589ANGIO
Euphorbia dentata	"Congocopac (Zoque), Hierba de la araña (Español), Lechillo (ND)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	19	Hierba de la araña	https://inaturalist-open-data.s3.amazonaws.com/photos/255838/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia dentata	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
Michaux, A. 1803. Flora Boreali-Americana (Michaux). 2.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149534-euphorbia-dentata	149534	13590ANGIO
Euphorbia heterophylla	"Casalina (ND), Catalina (Español), Chuleb xiw (ND), Contrahierba (Español), Golondrina (Español), Habon-hax (Maya), Hobonk'aak (Maya), Hobonté (Maya), Japidh ichich (Huasteco), Jobon k'aak' (Maya), Juboncac (Maya), Lab ichich (ND), Lechosa (Español), Lechuguilla (Español), Ndiichtog amarillo (ND), Ndiichtog maril (ND), Nela (ND), Noche buena (Español), Noche buena de monte (Español), Pascua (Español), Picachali (ND), Picachalih (ND), Picachlich (Guarijío), Pool kuuts (Maya), Quebranto (ND), Tiriciaxihuitl (ND), Xtop'lan xiix (ND), Yanajobonte'k'aak (ND)"	especie	válido	Nativa	Parientes silvestres de cultivos	"Dulceacuícola, Terrestre"	10	Lechero	https://inaturalist-open-data.s3.amazonaws.com/photos/24547127/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia heterophylla	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
L. 1753. Species Plantarum.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149543-euphorbia-heterophylla	149543	13599ANGIO
Euphorbia pulcherrima	"Aijoyó (Zoque), Bandera (Español), Bebeta (ND), Catalina (Español), Catarina (Español), Cuaetlaxochitl (ND), Cuitlaxóchitl (Náhuatl), Flor de Santa Catalina (Español), Flor de muertos (Español), Flor de nochebuena (Español), Flor de pascua (Español), Guie tiini (Zapoteco), Lipa-que-po-jua (Chontal de Oaxaca), Noche buena (Español), Nochebuena (Español), Palhtuxanat (Totonaco), Pascua (Español), Pascualxochitl (ND), Pascuaxochitl (Náhuatl), Pascuero (Español), Pastushtln (Totonaco), Santa Catarina (Español), Unipeni (ND), Xaslankatsisni (ND)"	especie	válido	Nativa	"Ambiental, Medicinal, Parientes silvestres de cultivos"	Terrestre	81	Nochebuena	https://inaturalist-open-data.s3.amazonaws.com/photos/69679900/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia pulcherrima	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
Karwinsky von, W. F. & Klotzsch, J. F. 1834. Allg. Gartenzeitung (Otto & Dietrich). 2.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149570-euphorbia-pulcherrima	149570	13626ANGIO
Euphorbia radians	"Chichimecapatli (Náhuatl), Colecitas (Español), Yamancapatli (Náhuatl)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	5	Colecitas	https://inaturalist-open-data.s3.amazonaws.com/photos/73220096/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia radians	"Bentham, G. 1839. Pl. Hartw. [Bentham].
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149575-euphorbia-radians	149575	13631ANGIO
Euphorbia cotinifolia	"Dólar rojo (Español), Gallina ciega (Español), Guichi-bidú (Zapoteco), Mala mujer (Español), Mata gallina (Español), Matagallina (Español), Piñoncillo (Español), Trompillo (Español)"	especie	válido	Nativa	"Medicinal, Ornamental, Parientes silvestres de cultivos"	Terrestre	26	Trompillo sudamericano	https://inaturalist-open-data.s3.amazonaws.com/photos/115043738/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia cotinifolia	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
L. 1753. Species Plantarum.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149630-euphorbia-cotinifolia	149630	13686ANGIO
Euphorbia graminea	"Fraile (Español), Golondrina (Español), Onob-kax (Maya), Quelite de copal (Español), Quelite fraile (Español)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	37	Golondrina	https://inaturalist-open-data.s3.amazonaws.com/photos/34260700/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia graminea	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
Jacquin, N. J. 1763. Select. Stirp. Amer. Hist. .
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149638-euphorbia-graminea	149638	13694ANGIO
Euphorbia campestris	Hierba del coyote (Español)	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	9	Hierba del coyote	https://static.inaturalist.org/photos/5695607/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia campestris	"Schlechtendal, D. F. L. & Chamisso von, L. K. A. 1830. Linnaea. De plantis in expeditione speculatoria romanzo ffiana observatis dissere pergunt. Berlín, Alemania. 5. 
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149734-euphorbia-campestris	149734	13791ANGIO
Euphorbia furcillata		especie	válido	"Endémica,Nativa"	"Medicinal, Parientes silvestres de cultivos"	Terrestre	35	Hierba del coyote	https://static.inaturalist.org/photos/2562749/medium.JPG	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia furcillata	"Kunth, K. S. 1817. Nov. Gen. Sp. [H.B.K.]. 2.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281."	https://enciclovida.mx:443/especies/149749-euphorbia-furcillata	149749	13806ANGIO
Euphorbia peplus		especie	válido	Exótica	Parientes silvestres de cultivos	Terrestre	6	Lecherillo mediterráneo	https://inaturalist-open-data.s3.amazonaws.com/photos/51646215/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Malpighiales	Euphorbiaceae	Euphorbia	Euphorbia peplus	"Sosa, V. 1995. Recuento de la diversidad florística de Veracruz. División de Vegetación y Flora. Instituto de Ecología A. C. Base de datos SNIB-CONABIO, proyecto No. P011. México, D.F.
L. 1753. Species Plantarum.
Martínez-Gordillo, M., Jiménez-Ramírez, J., Cruz-Durán, R., Juárez-Arriaga, E., García, R., Cervantes, A. & Mejía-Hernández, R. 2002. Anales Inst. Biol. Univ. Nac. Autón. México, Bot. Los géneros de la familia Euphorbiaceae en México. 73(2):155-281.
Espinosa-García, F. J. 2000. Malezas introducidas de México. Centro de investigaciones en ecosistemas. Universidad Nacional Autónoma de México. Base de Datos SNIB-CONABIO. Proyecto U024. Morelia, Mich. México
CONABIO. 2016. Sistema de información sobre especies invasoras en México. Comisión Nacional para el Conocimiento y Uso de la Biodiversidad. http://www.biodiversidad.gob.mx/invasoras"	https://enciclovida.mx:443/especies/149780-euphorbia-peplus	149780	13837ANGIO
